Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Running,2019-09-08 07:02:14,false,"San Francisco Running","21.36","1,225","01:41:52","165","184","5.0","185","220","4:46","3:42","43","50","1.13","6.6","7.7","246","49.3% L / 50.7% R","0.0","0.0","0.0","0:00","18.0","0:00","No","01:33.28","22","0.0"
Running,2019-09-02 08:18:45,false,"San Francisco Running","10.51","651","00:57:56","153","172","3.5","180","191","5:31","4:10","31","37","1.01","0.0","0.0","--","--","0.0","0.0","0.0","0:00","21.0","0:00","No","02:51.20","11","0.0"
Running,2019-09-01 07:09:09,false,"San Francisco Running","5.01","332","00:31:28","146","163","2.8","174","197","6:17","5:11","11","15","0.92","0.0","0.0","--","--","0.0","0.0","0.0","0:00","22.0","0:00","No","00:01.84","6","0.0"
Running,2019-08-30 19:41:57,false,"San Francisco Running","6.22","363","00:33:48","148","167","3.2","174","185","5:26","4:00","30","31","1.06","0.0","0.0","--","--","0.0","0.0","0.0","0:00","23.0","0:00","No","00:55.54","7","0.0"
Running,2019-08-27 06:52:38,false,"San Francisco Running","4.09","232","00:22:21","142","162","3.0","176","189","5:28","4:01","15","21","1.04","0.0","0.0","--","--","0.0","0.0","0.0","0:00","20.0","0:00","No","00:29.66","5","0.0"
Running,2019-08-25 08:00:29,false,"Bridge to Bridge 12K","12.21","655","00:57:05","157","185","4.3","185","197","4:41","3:53","26","27","1.15","0.0","0.0","--","--","0.0","0.0","0.0","0:00","19.0","0:00","No","00:48.72","13","0.0"
Running,2019-08-23 06:48:49,false,"San Francisco Running","5.01","279","00:26:16","148","171","3.1","179","201","5:15","4:33","15","21","1.06","0.0","0.0","--","--","0.0","0.0","0.0","0:00","20.0","0:00","No","00:01.64","6","0.0"
Running,2019-08-20 06:50:26,false,"San Francisco Running","5.12","303","00:27:53","149","167","3.3","182","193","5:26","4:54","13","16","1.01","0.0","0.0","--","--","0.0","0.0","0.0","0:00","21.0","0:00","No","00:39.92","6","0.0"
Running,2019-08-14 05:28:27,false,"Chuo Ku Running","6.00","327","00:37:29","138","152","2.2","173","189","6:15","4:47","23","9","0.92","0.0","0.0","--","--","0.0","0.0","0.0","0:00","31.0","0:00","No","00:01.42","7","0.0"
Running,2019-08-04 07:47:05,false,"San Francisco Running","7.01","422","00:39:46","147","167","2.9","177","195","5:40","4:46","22","31","0.99","0.0","0.0","--","--","0.0","0.0","0.0","0:00","19.0","0:00","No","00:01.35","8","0.0"
