Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Grit,Flow,Total Reps,Total Sets,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Running,2020-01-31 06:55:23,false,"San Francisco Running","2.74","164","00:14:50","144","166","3.1","170","189","5:24","4:57","4","7","1.09","0.0","0.0","--","--","0.0","0.0","0.0","--","--","0:00","17.0","0:00","No","04:00.31","3","0.0"
Strength Training,2020-01-30 08:25:52,false,"Strength","0.00","36","00:09:03.1","86","104","0.2","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","4","1","0:00","30.0","0:00","No","00:00.00","1","0.0"
Strength Training,2020-01-29 21:58:24,false,"Strength","0.00","37","00:15:00","80","105","0.2","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","35","11","0:00","30.0","0:00","No","00:00.00","1","0.0"
Running,2020-01-29 06:53:09,false,"San Francisco Running","2.70","154","00:13:57","144","162","3.0","179","192","5:11","4:37","8","11","1.08","0.0","0.0","--","--","0.0","0.0","0.0","--","--","0:00","18.0","0:00","No","03:37.25","3","0.0"
Strength Training,2020-01-28 21:12:06,false,"Strength","0.00","68","00:17:17","87","111","0.3","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","4","1","0:00","30.0","0:00","No","00:00.00","1","0.0"
Strength Training,2020-01-27 08:25:06,false,"Strength","0.00","56","00:14:34","85","108","0.2","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","4","1","0:00","30.0","0:00","No","00:00.00","1","0.0"
Strength Training,2020-01-26 23:04:39,false,"Strength","0.00","35","00:11:44","86","105","0.2","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","58","13","0:00","30.0","0:00","No","00:00.00","1","0.0"
Running,2020-01-26 07:35:45,false,"San Francisco Running","2.31","134","00:12:55","136","153","2.6","178","187","5:36","4:51","35","9","1.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","0:00","18.0","0:00","No","01:57.56","3","0.0"
Strength Training,2020-01-25 23:01:31,false,"Strength","0.00","28","00:10:24","86","105","0.2","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","85","14","0:00","31.0","0:00","No","00:00.00","1","0.0"
Running,2020-01-25 08:58:06,false,"San Francisco Running","1.64","99","00:08:34.5","150","168","2.6","177","189","5:14","4:38","3","5","1.08","0.0","0.0","--","--","0.0","0.0","0.0","--","--","0:00","21.0","0:00","No","03:25.99","2","0.0"
Running,2020-01-24 06:38:32,false,"San Francisco Running","2.02","113","00:10:41","140","157","2.5","179","189","5:17","4:12","6","8","1.06","0.0","0.0","--","--","0.0","0.0","0.0","--","--","0:00","20.0","0:00","No","00:06.53","3","0.0"
Strength Training,2020-01-23 08:30:27,false,"Strength","0.00","39","00:08:22.1","93","108","0.2","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","10","1","0:00","31.0","0:00","No","00:00.00","1","0.0"
Running,2020-01-22 06:55:13,false,"San Francisco Running","1.79","105","00:10:05","142","155","2.4","179","194","5:38","5:06","4","10","0.99","0.0","0.0","--","--","0.0","0.0","0.0","--","--","0:00","20.0","0:00","No","04:28.23","2","0.0"
Strength Training,2020-01-21 22:42:03,false,"Strength","0.00","16","00:07:36.2","81","100","0.1","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","6","9","0:00","30.0","0:00","No","00:00.00","1","0.0"
Strength Training,2020-01-20 08:23:26,false,"Strength","0.00","20","00:09:56.0","73","97","0.1","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","5","4","0:00","28.0","0:00","No","00:00.00","1","0.0"
Strength Training,2020-01-19 21:47:34,false,"Strength","0.00","19","00:07:55.6","78","97","0.1","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","6","0:00","31.0","0:00","No","00:00.00","1","0.0"
Running,2020-01-19 09:43:52,false,"San Francisco Running","1.78","95","00:09:50.6","129","139","2.1","177","187","5:32","5:03","5","6","1.02","0.0","0.0","--","--","0.0","0.0","0.0","--","--","0:00","19.0","0:00","No","04:24.39","2","0.0"
Running,2020-01-18 08:47:11,false,"San Francisco Running","1.60","99","00:09:09.0","145","156","2.4","177","187","5:43","4:33","6","7","0.99","0.0","0.0","--","--","0.0","0.0","0.0","--","--","0:00","20.0","0:00","No","03:26.88","2","0.0"
