Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Running,2020-02-21 06:41:55,false,"San Francisco Running","5.01","257","00:23:24","141","160","3.1","181","194","4:40","4:08","13","15","1.18","0.0","0.0","--","--","0.0","0.0","0.0","0:00","16.0","0:00","No","00:01.77","6","0.0"
Running,2020-02-19 06:41:47,false,"San Francisco Running","5.26","286","00:23:56","161","175","4.0","184","226","4:33","3:45","4","7","1.17","5.8","7.0","252","49.8% L / 50.2% R","0.0","0.0","0.0","0:00","14.0","0:00","No","01:05.25","6","0.0"
Running,2020-02-17 06:33:35,false,"San Francisco Running","6.01","353","00:29:21","154","171","4.1","175","192","4:53","3:43","15","17","1.17","0.0","0.0","--","--","0.0","0.0","0.0","0:00","15.0","0:00","No","00:02.46","7","0.0"
Running,2020-02-15 07:58:21,false,"San Francisco Running","4.25","202","00:20:56","145","165","2.7","182","202","4:56","3:47","7","8","1.09","6.2","6.9","262","49.9% L / 50.1% R","0.0","0.0","0.0","0:00","18.0","0:00","No","01:09.52","5","0.0"
Running,2020-02-13 06:49:41,false,"San Francisco Running","4.11","219","00:19:54","146","160","3.3","179","199","4:50","4:06","10","13","1.15","0.0","0.0","--","--","0.0","0.0","0.0","0:00","15.0","0:00","No","00:31.09","5","0.0"
Running,2020-02-11 06:53:11,false,"San Francisco Running","4.04","245","00:20:30","155","177","3.9","177","191","5:05","4:04","15","26","1.11","0.0","0.0","--","--","0.0","0.0","0.0","0:00","20.0","0:00","No","00:10.06","5","0.0"
Running,2020-02-09 08:01:28,false,"San Francisco Running","4.01","222","00:20:13","146","178","3.3","179","195","5:03","3:50","17","19","1.11","0.0","0.0","--","--","0.0","0.0","0.0","0:00","16.0","0:00","No","00:03.17","5","0.0"
Running,2020-02-07 06:53:45,false,"San Francisco Running","3.36","191","00:17:03","147","162","3.3","177","189","5:05","4:29","11","16","1.11","0.0","0.0","--","--","0.0","0.0","0.0","0:00","15.0","0:00","No","01:50.99","4","0.0"
Running,2020-02-04 06:56:45,false,"San Francisco Running","3.45","208","00:17:43","151","173","3.5","175","195","5:08","4:15","7","18","1.11","0.0","0.0","--","--","0.0","0.0","0.0","0:00","14.0","0:00","No","02:11.75","4","0.0"
Running,2020-02-02 08:15:41,false,"San Francisco Running","3.01","165","00:15:44","139","159","2.7","173","191","5:14","4:25","15","12","1.11","0.0","0.0","--","--","0.0","0.0","0.0","0:00","21.0","0:00","No","00:01.81","4","0.0"
