Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Running,2019-11-25 06:51:50,false,"San Francisco Running","2.01","112","00:11:47","131","149","2.0","177","202","5:51","4:50","--","9","0.96","0.0","0.0","--","--","0.0","0.0","0.0","0:00","18.0","0:00","No","00:04.31","3","0.0"
Running,2019-11-17 07:37:07,false,"Berkeley Half Marathon 2019","21.20","1,275","01:39:48","168","186","5.0","185","256","4:42","4:00","182","190","1.14","6.4","7.5","243","49.2% L / 50.8% R","0.0","0.0","0.0","0:00","17.0","0:00","No","00:48.58","22","0.0"
Running,2019-11-12 07:01:57,false,"San Francisco Running","4.05","215","00:19:54","142","157","2.7","179","192","4:55","4:01","4","18","1.14","0.0","0.0","--","--","0.0","0.0","0.0","0:00","19.0","0:00","No","00:16.16","5","0.0"
Running,2019-11-10 08:41:33,false,"San Francisco Running","5.17","277","00:26:54","140","168","2.9","181","195","5:12","4:01","12","15","1.06","0.0","0.0","--","--","0.0","0.0","0.0","0:00","18.0","0:00","No","00:49.72","6","0.0"
Running,2019-11-03 07:13:50,false,"San Francisco Running","19.38","996","01:42:35","146","169","3.5","179","202","5:18","4:23","150","127","1.05","0.0","0.0","--","--","0.0","0.0","0.0","0:00","18.0","0:00","No","02:19.59","20","0.0"
Running,2019-10-31 07:09:14,false,"San Francisco Running","5.22","282","00:24:42","151","170","3.1","185","202","4:44","3:51","2","4","1.14","0.0","0.0","--","--","0.0","0.0","0.0","0:00","17.0","0:00","No","00:50.92","6","0.0"
Running,2019-10-30 17:04:22,false,"San Francisco Running","2.20","110","00:10:51","138","155","2.1","173","189","4:56","3:57","9","18","1.17","0.0","0.0","--","--","0.0","0.0","0.0","0:00","23.0","0:00","No","01:03.05","3","0.0"
Running,2019-10-29 06:49:47,false,"San Francisco Running","5.04","273","00:24:24","149","173","3.0","181","195","4:51","4:00","8","9","1.14","0.0","0.0","--","--","0.0","0.0","0.0","0:00","16.0","0:00","No","00:12.33","6","0.0"
Running,2019-10-27 08:54:01,false,"Santa Clara County Running","6.56","394","00:52:13","121","141","1.9","160","211","7:57","2:51","222","220","0.78","0.0","0.0","--","--","0.0","0.0","0.0","0:00","20.0","0:00","No","03:46.15","7","0.0"
Running,2019-10-25 06:46:22,false,"San Francisco Running","5.07","281","00:25:33","148","174","3.1","178","196","5:02","4:22","4","4","1.12","0.0","0.0","--","--","0.0","0.0","0.0","0:00","21.0","0:00","No","00:22.23","6","0.0"
Running,2019-10-20 05:56:40,false,"Chuo Ku Running","15.02","885","01:16:34","159","177","4.3","181","195","5:06","3:31","71","80","1.09","0.0","0.0","--","--","0.0","0.0","0.0","0:00","24.0","0:00","No","00:04.12","16","0.0"
Running,2019-10-16 08:19:46,false,"San Francisco Running","18.01","1,033","01:30:07","158","182","4.4","181","199","5:00","3:21","57","64","1.11","0.0","0.0","--","--","0.0","0.0","0.0","0:00","18.0","0:00","No","00:02.31","19","0.0"
Running,2019-10-13 08:37:28,false,"Redwood City Running","16.06","1,135","01:25:00","169","204","5.0","179","195","5:17","3:58","12","15","1.05","0.0","0.0","--","--","0.0","0.0","0.0","0:00","17.0","0:00","No","00:17.77","17","0.0"
Running,2019-10-12 08:48:17,false,"San Francisco Running","4.08","248","00:21:46","148","166","2.9","176","191","5:20","4:50","20","19","1.06","0.0","0.0","--","--","0.0","0.0","0.0","0:00","21.0","0:00","No","00:26.91","5","0.0"
Running,2019-10-10 06:50:25,false,"San Francisco Running","5.14","306","00:26:38","150","168","3.2","176","193","5:11","4:28","17","14","1.09","0.0","0.0","--","--","0.0","0.0","0.0","0:00","19.0","0:00","No","00:43.52","6","0.0"
Running,2019-10-08 06:46:14,false,"San Francisco Running","5.51","308","00:26:04","153","179","3.4","176","193","4:44","3:27","12","17","1.20","0.0","0.0","--","--","0.0","0.0","0.0","0:00","20.0","0:00","No","02:26.06","6","0.0"
